rikishi1,odds1,rikishi2,odds2,ts
Hakuho,1.1,Kotoshogiku,7,2017-07-08 06:45:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 06:50:02
Kisenosato,1.25,Mitakeumi,3.95,2017-07-08 06:50:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 06:50:02
Terunofuji,1.3,Takakeisho,3.52,2017-07-08 06:50:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 06:50:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 06:55:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 06:55:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 06:55:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 06:55:02
Tamawashi,1.4,Ikioi,2.96,2017-07-08 06:55:02
Terunofuji,1.3,Takakeisho,3.52,2017-07-08 06:55:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 06:55:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:00:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:00:03
Ichinojo,2.76,Tochiozan,1.45,2017-07-08 07:00:03
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:00:03
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:00:03
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:00:03
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:00:03
Terunofuji,1.3,Takakeisho,3.52,2017-07-08 07:00:03
Ura,2.28,Endo,1.63,2017-07-08 07:00:03
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:00:03
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:05:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:05:03
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:05:03
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:05:03
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:05:03
